istaigos_kodas;gydytojo_ID;iraso_sukurimo_data;apylinkes_tipas;etatinis_darbo_kruvis
124245660;10272;2023-09-23 03:06;4;1.000
124245660;10295;2023-09-23 03:06;4;1.000
124245660;119756;2023-09-23 03:06;1;1.000
124245660;12495;2023-09-23 03:06;4;1.000
124245660;12505;2023-09-23 03:06;4;1.000
124245660;12514;2023-09-23 03:06;1;0.750
124245660;13314;2023-09-23 03:06;4;1.000
124245660;13535;2023-09-23 03:06;4;1.000
124245660;13562;2023-09-23 03:06;4;1.000
124245660;13953;2023-09-23 03:06;4;1.100
124245660;14121;2023-09-23 03:06;4;1.000
124245660;14677;2023-09-23 03:06;4;1.200
124245660;14780;2023-09-23 03:06;4;1.000
124245660;15201;2023-09-23 03:06;4;1.000
124245660;15433;2023-09-23 03:06;4;1.000
124245660;16315;2023-09-23 03:06;1;0.250
124245660;16741;2023-09-23 03:06;1;1.000
124245660;16749;2023-09-23 03:06;4;0.400
124245660;17061;2023-09-23 03:06;4;1.000
124245660;17306;2023-09-23 03:06;4;1.100
124245660;17334;2023-09-23 03:06;1;1.000
124245660;18248;2023-09-23 03:06;4;1.000
124245660;18518;2023-09-23 03:06;4;1.000
124245660;19495;2023-09-23 03:06;4;1.000
124245660;19506;2023-09-23 03:06;4;1.000
124245660;21264;2023-09-23 03:06;4;1.250
124245660;21313;2023-09-23 03:06;4;1.000
124245660;21701;2023-09-23 03:06;4;0.250
124245660;22353;2023-09-23 03:06;4;1.250
124245660;22472;2023-09-23 03:06;4;1.000
124245660;22960;2023-09-23 03:06;4;1.200
124245660;23034;2023-09-23 03:06;1;1.000
124245660;24483;2023-09-23 03:06;1;1.200
124245660;24909;2023-09-23 03:06;4;1.000
124245660;24980;2023-09-23 03:06;1;1.000
124245660;24987;2023-09-23 03:06;4;1.000
124245660;26136;2023-09-23 03:06;4;0.500
124245660;26535;2023-09-23 03:06;1;1.150
124245660;28129;2023-09-23 03:06;4;1.000
124245660;30345;2023-09-23 03:06;4;1.150
124245660;31565;2023-09-23 03:06;4;1.000
124245660;32790;2023-09-23 03:06;4;1.100
124245660;33210;2023-09-23 03:06;1;1.000
124245660;33645;2023-09-23 03:06;4;1.000
124245660;33663;2023-09-23 03:06;4;1.000
124245660;33744;2023-09-23 03:06;4;1.000
124245660;33986;2023-09-23 03:06;1;1.200
124245660;33992;2023-09-23 03:06;4;1.000
124245660;34142;2023-09-23 03:06;4;1.050
124245660;34393;2023-09-23 03:06;4;1.200
124245660;34440;2023-09-23 03:06;3;1.000
124245660;34507;2023-09-23 03:06;1;0.500
124245660;34813;2023-09-23 03:06;3;1.000
124245660;34819;2023-09-23 03:06;4;1.000
124245660;34951;2023-09-23 03:06;4;0.750
124245660;35022;2023-09-23 03:06;4;1.000
124245660;35030;2023-09-23 03:06;2;1.000
124245660;35209;2023-09-23 03:06;4;1.050
124245660;35226;2023-09-23 03:06;4;1.000
124245660;35382;2023-09-23 03:06;4;1.000
124245660;35688;2023-09-23 03:06;4;1.000
124245660;36907;2023-09-23 03:06;3;1.000
124245660;8650;2023-09-23 03:06;4;1.000
