istaigos_kodas;gydytojo_ID;laisvos_registracijos_data;iraso_sukurimo_data
124245660;100000;2020-05-06 10:20;2020-05-02 03:00:11
124245660;100000;2020-05-06 10:30;2020-05-02 03:00:11
124245660;100000;2020-05-06 10:40;2020-05-02 03:00:11
124245660;100000;2020-05-06 10:50;2020-05-02 03:00:11
124245660;100000;2020-05-06 11:30;2020-05-02 03:00:11
124245660;100000;2020-05-07 13:15;2020-05-02 03:00:11
124245660;100000;2020-05-07 13:25;2020-05-02 03:00:11
124245660;100000;2020-05-07 13:35;2020-05-02 03:00:11
124245660;100000;2020-05-07 13:45;2020-05-02 03:00:11
124245660;100000;2020-05-07 13:55;2020-05-02 03:00:11
124245660;100000;2020-05-07 14:05;2020-05-02 03:00:11
124245660;100000;2020-05-07 14:15;2020-05-02 03:00:11
124245660;100000;2020-05-07 14:25;2020-05-02 03:00:11
124245660;100000;2020-05-07 14:35;2020-05-02 03:00:11
124245660;100000;2020-05-07 14:45;2020-05-02 03:00:11
124245660;100000;2020-05-07 14:55;2020-05-02 03:00:11
124245660;100000;2020-05-07 15:15;2020-05-02 03:00:11
124245660;100000;2020-05-07 15:25;2020-05-02 03:00:11
124245660;100000;2020-05-07 15:35;2020-05-02 03:00:11
124245660;100000;2020-05-07 15:45;2020-05-02 03:00:11
124245660;100000;2020-05-07 15:55;2020-05-02 03:00:11
124245660;100000;2020-05-08 13:15;2020-05-02 03:00:11
124245660;100000;2020-05-08 13:25;2020-05-02 03:00:11
124245660;100000;2020-05-08 13:35;2020-05-02 03:00:11
124245660;100000;2020-05-08 13:45;2020-05-02 03:00:11
124245660;100000;2020-05-08 13:55;2020-05-02 03:00:11
124245660;100000;2020-05-08 14:05;2020-05-02 03:00:11
124245660;100000;2020-05-08 14:15;2020-05-02 03:00:11
124245660;100000;2020-05-08 14:25;2020-05-02 03:00:11
124245660;100000;2020-05-08 14:35;2020-05-02 03:00:11
124245660;100000;2020-05-08 14:45;2020-05-02 03:00:11
124245660;100000;2020-05-08 14:55;2020-05-02 03:00:11
124245660;100000;2020-05-08 15:05;2020-05-02 03:00:11
124245660;100000;2020-05-08 15:15;2020-05-02 03:00:11
124245660;100000;2020-05-08 15:25;2020-05-02 03:00:11
124245660;100000;2020-05-08 15:35;2020-05-02 03:00:11
124245660;100000;2020-05-08 15:45;2020-05-02 03:00:11
124245660;100000;2020-05-08 15:55;2020-05-02 03:00:11
124245660;141162;2020-05-04 17:45;2020-05-02 03:00:11
124245660;141162;2020-05-04 18:15;2020-05-02 03:00:11
124245660;141162;2020-05-04 18:45;2020-05-02 03:00:11
124245660;141162;2020-05-04 19:00;2020-05-02 03:00:11
124245660;141162;2020-05-05 07:05;2020-05-02 03:00:11
124245660;141162;2020-05-05 07:20;2020-05-02 03:00:11
124245660;141162;2020-05-05 07:35;2020-05-02 03:00:11
124245660;141162;2020-05-05 07:50;2020-05-02 03:00:11
124245660;141162;2020-05-05 08:05;2020-05-02 03:00:11
124245660;141162;2020-05-05 08:50;2020-05-02 03:00:11
124245660;141162;2020-05-05 10:40;2020-05-02 03:00:11
124245660;141162;2020-05-05 11:10;2020-05-02 03:00:11
124245660;141162;2020-05-05 11:25;2020-05-02 03:00:11
124245660;141162;2020-05-05 12:10;2020-05-02 03:00:11
124245660;141162;2020-05-05 12:25;2020-05-02 03:00:11
124245660;141162;2020-05-06 13:30;2020-05-02 03:00:11
124245660;141162;2020-05-06 13:45;2020-05-02 03:00:11
124245660;141162;2020-05-06 14:15;2020-05-02 03:00:11
124245660;141162;2020-05-06 14:30;2020-05-02 03:00:11
124245660;141162;2020-05-06 14:45;2020-05-02 03:00:11
124245660;141162;2020-05-06 15:30;2020-05-02 03:00:11
124245660;141162;2020-05-06 15:45;2020-05-02 03:00:11
124245660;141162;2020-05-06 16:00;2020-05-02 03:00:11
124245660;141162;2020-05-06 17:15;2020-05-02 03:00:11
124245660;141162;2020-05-06 17:30;2020-05-02 03:00:11
124245660;141162;2020-05-06 17:45;2020-05-02 03:00:11
124245660;141162;2020-05-06 18:00;2020-05-02 03:00:11
124245660;141162;2020-05-06 18:15;2020-05-02 03:00:11
124245660;141162;2020-05-06 18:30;2020-05-02 03:00:11
124245660;141162;2020-05-06 18:45;2020-05-02 03:00:11
124245660;141162;2020-05-06 19:15;2020-05-02 03:00:11
124245660;141162;2020-05-07 07:20;2020-05-02 03:00:11
124245660;141162;2020-05-07 07:50;2020-05-02 03:00:11
124245660;141162;2020-05-07 08:05;2020-05-02 03:00:11
124245660;141162;2020-05-07 08:20;2020-05-02 03:00:11
124245660;141162;2020-05-07 08:50;2020-05-02 03:00:11
124245660;141162;2020-05-07 09:05;2020-05-02 03:00:11
124245660;141162;2020-05-07 10:40;2020-05-02 03:00:11
124245660;141162;2020-05-07 10:55;2020-05-02 03:00:11
124245660;141162;2020-05-07 11:10;2020-05-02 03:00:11
